Attribute.Locale	zh-CN
# RTS24测试样例
Attribute.Version	1.1
Attribute.Name	RTS24 测试样例
Attribute.Annotation	IEEE RTS24
Attribute.Annotation	Test Case
Attribute.Solver	NR
Attribute.NodeReorder	True
Attribute.MaxDeviation	1E-6

# 母线 + 1 冗余
Bus	1, 138kV-1, 1
Bus	2, 138kV-2, 1
Bus	3, 138kV变电站1, 1
Bus	4, 138kV-4, 1
Bus	5, 138kV-5, 1
Bus	6, 138kV-6, 1
Bus	7, 138kV-7, 1
Bus	8, 138kV-8, 1
Bus	9, 138kV变电站2, 1
Bus	10, 138kV变电站3, 1
Bus	11, 230kV变电站2, 1
Bus	12, 230kV变电站3, 1
Bus	13, 230kV-13, 1
Bus	14, 230kV-14, 1
Bus	15, 230kV-15, 1
Bus	16, 230kV-16, 1
Bus	17, 230kV-17, 1
Bus	18, 230kV-18, 1
Bus	19, 230kV-19, 1
Bus	20, 230kV-20, 1
Bus	21, 230kV-21, 1
Bus	22, 230kV-22, 1
Bus	23, 230kV-23, 1
Bus	24, 230kV变电站1, 1
Bus	25, 230kV-25, 1

SlackGenerator	13, 1.05
# 传输线
LINE	1, 2, 0.0026, 0.0139, 0.4611
LINE	1, 3, 0.0546, 0.2112, 0.0572
LINE	1, 5, 0.0218, 0.0845, 0.0229
LINE	2, 4, 0.0328, 0.1267, 0.0343
LINE	2, 6, 0.0497, 0.192, 0.052
LINE	3, 9, 0.0308, 0.119, 0.0322
LINE	4, 9, 0.0268, 0.1037, 0.0281
LINE	5, 10, 0.0228, 0.0883, 0.0239
LINE	6, 10, 0.0139, 0.0605, 2.459
LINE	7, 8, 0.0159, 0.0614, 0.0166
LINE	8, 9, 0.0427, 0.1651, 0.0447
LINE	8, 10, 0.0427, 0.1651, 0.0447
LINE	11, 13, 0.0061, 0.0476, 0.0999
LINE	11, 14, 0.0054, 0.0418, 0.0879
LINE	12, 13, 0.0061, 0.0476, 0.0999
LINE	12, 23, 0.0124, 0.0966, 0.203
LINE	13, 23, 0.0111, 0.0865, 0.1818
LINE	14, 16, 0.005, 0.0389, 0.0818
LINE	15, 16, 0.0022, 0.0173, 0.0364
LINE	15, 21, 0.0063, 0.049, 0.103
LINE	15, 21, 0.0063, 0.049, 0.103
LINE	15, 24, 0.0067, 0.0519, 0.1091
LINE	16, 17, 0.0033, 0.0259, 0.0545
LINE	16, 19, 0.003, 0.0231, 0.0485
LINE	17, 18, 0.0018, 0.0144, 0.0303
LINE	17, 22, 0.0135, 0.1053, 0.2212
LINE	18, 21, 0.0033, 0.0259, 0.0545
LINE	18, 21, 0.0033, 0.0259, 0.0545
LINE	19, 20, 0.0051, 0.0396, 0.0833
LINE	19, 20, 0.0051, 0.0396, 0.0833
LINE	20, 23, 0.0028, 0.0216, 0.0455
LINE	20, 23, 0.0028, 0.0216, 0.0455
LINE	21, 22, 0.0087, 0.0678, 0.1424

#变压器
Transformer	3, 24, 0.0023, 0.0839, 1
Transformer	9, 11, 0.0023, 0.0839, 1
Transformer	9, 12, 0.0023, 0.0839, 1
Transformer	10, 11, 0.0023, 0.0839, 1
Transformer	10, 12, 0.0023, 0.0839, 1

#发电机
PVGenerator	15, 0.12, 1.05
PVGenerator	15, 0.12, 1.05
PVGenerator	15, 0.12, 1.05
PVGenerator	15, 0.12, 1.05
PVGenerator	15, 0.12, 1.05
PVGenerator	1, 0.2, 1.05
PVGenerator	1, 0.2, 1.05
PVGenerator	2, 0.2, 1.05
PVGenerator	2, 0.2, 1.05
PVGenerator	22, 0.5, 1.05
PVGenerator	22, 0.5, 1.05
PVGenerator	22, 0.5, 1.05
PVGenerator	22, 0.5, 1.05
PVGenerator	22, 0.5, 1.05
PVGenerator	22, 0.5, 1.05
PVGenerator	1, 0.76, 1.05
PVGenerator	1, 0.76, 1.05
PVGenerator	2, 0.76, 1.05
PVGenerator	2, 0.76, 1.05
PVGenerator	7, 1, 1.05
PVGenerator	7, 1, 1.05
PVGenerator	7, 1, 1.05
PVGenerator	15, 1.55, 1.05
PVGenerator	16, 1.55, 1.05
PVGenerator	23, 1.55, 1.05
PVGenerator	23, 1.55, 1.05
PVGenerator	13, 0, 1.05
PVGenerator	13, 0, 1.05
PVGenerator	13, 0, 1.05
PVGenerator	23, 3.5, 1.05
PVGenerator	18, 4, 1.05
PVGenerator	21, 4, 1.05

#负载
PQLoad	1, 1.08, 0.22
PQLoad	2, 0.97, 0.2
PQLoad	3, 1.8, 0.37
PQLoad	4, 0.74, 0.15
PQLoad	5, 0.71, 0.14
PQLoad	6, 1.36, 0.28
PQLoad	7, 1.25, 0.25
PQLoad	8, 1.71, 0.35
PQLoad	9, 1.75, 0.36
PQLoad	10, 1.95, 0.4
PQLoad	13, 2.65, 0.54
PQLoad	14, 1.94, 0.39
PQLoad	15, 3.17, 0.64
PQLoad	16, 1, 0.2
PQLoad	18, 3.33, 0.68
PQLoad	19, 1.81, 0.37
PQLoad	20, 1.28, 0.26
